secondary_sample_accession	fastq_ftp	sample_title
SRS1159320	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2920466/SRR2920466_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2920466/SRR2920466_2.fastq.gz	4983-1A
SRS1159319	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/007/SRR2920467/SRR2920467_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/007/SRR2920467/SRR2920467_2.fastq.gz	4983-2A
SRS1159318	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2920468/SRR2920468_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2920468/SRR2920468_2.fastq.gz	4983-3A
SRS1159317	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2920469/SRR2920469_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2920469/SRR2920469_2.fastq.gz	4983-4A
SRS1159315	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/000/SRR2920470/SRR2920470_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/000/SRR2920470/SRR2920470_2.fastq.gz	4983-4B
SRS1159316	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2920471/SRR2920471_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2920471/SRR2920471_2.fastq.gz	4983-5A
SRS1159314	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/002/SRR2920472/SRR2920472_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/002/SRR2920472/SRR2920472_2.fastq.gz	4983-5B
SRS1159313	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/003/SRR2920473/SRR2920473_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/003/SRR2920473/SRR2920473_2.fastq.gz	4983-6A
SRS1159312	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2920474/SRR2920474_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2920474/SRR2920474_2.fastq.gz	4983-6B
SRS1159311	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2920475/SRR2920475_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2920475/SRR2920475_2.fastq.gz	4983-7A
SRS1159310	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2920476/SRR2920476_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2920476/SRR2920476_2.fastq.gz	4983-7B
SRS1159307	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/007/SRR2920477/SRR2920477_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/007/SRR2920477/SRR2920477_2.fastq.gz	6792-1A
SRS1159308	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2920478/SRR2920478_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2920478/SRR2920478_2.fastq.gz	6792-1B
SRS1159306	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2920479/SRR2920479_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/009/SRR2920479/SRR2920479_2.fastq.gz	6792-2A
SRS1159305	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/000/SRR2920480/SRR2920480_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/000/SRR2920480/SRR2920480_2.fastq.gz	6792-3A
SRS1159304	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2920481/SRR2920481_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/001/SRR2920481/SRR2920481_2.fastq.gz	6792-4A
SRS1159303	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/002/SRR2920482/SRR2920482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/002/SRR2920482/SRR2920482_2.fastq.gz	6792-4B
SRS1159302	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/003/SRR2920483/SRR2920483_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/003/SRR2920483/SRR2920483_2.fastq.gz	6792-5A
SRS1159300	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2920484/SRR2920484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/004/SRR2920484/SRR2920484_2.fastq.gz	6792-5B
SRS1159301	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2920485/SRR2920485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/005/SRR2920485/SRR2920485_2.fastq.gz	6792-6A
SRS1159299	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2920486/SRR2920486_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/006/SRR2920486/SRR2920486_2.fastq.gz	6792-6B
SRS1159309	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/007/SRR2920487/SRR2920487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/007/SRR2920487/SRR2920487_2.fastq.gz	6792-7A
SRS1159298	ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2920488/SRR2920488_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR292/008/SRR2920488/SRR2920488_2.fastq.gz	6792-7B
