study_accession	experiment_accession	experiment_title	fastq_ftp	submitted_ftp	sample_title
PRJNA392905	SRX2978848	NextSeq 500 sequencing; GSM2692169: Ep.MEChi.Th#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799381/SRR5799381_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799381/SRR5799381_2.fastq.gz		Ep.MEChi.Th#1
PRJNA392905	SRX2978849	NextSeq 500 sequencing; GSM2692170: Ep.MEChi.Th#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799382/SRR5799382_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799382/SRR5799382_2.fastq.gz		Ep.MEChi.Th#2
PRJNA392905	SRX2978850	NextSeq 500 sequencing; GSM2692171: preT.DN1.Th#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799383/SRR5799383_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799383/SRR5799383_2.fastq.gz		preT.DN1.Th#1
PRJNA392905	SRX2978851	NextSeq 500 sequencing; GSM2692172: preT.DN1.Th#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799384/SRR5799384_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799384/SRR5799384_2.fastq.gz		preT.DN1.Th#2
PRJNA392905	SRX2978852	NextSeq 500 sequencing; GSM2692173: preT.DN2a.Th#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799385/SRR5799385_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799385/SRR5799385_2.fastq.gz		preT.DN2a.Th#1
PRJNA392905	SRX2978853	NextSeq 500 sequencing; GSM2692174: preT.DN2a.Th#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799386/SRR5799386_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799386/SRR5799386_2.fastq.gz		preT.DN2a.Th#2
PRJNA392905	SRX2978854	NextSeq 500 sequencing; GSM2692175: preT.DN2b.Th#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799387/SRR5799387_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799387/SRR5799387_2.fastq.gz		preT.DN2b.Th#1
PRJNA392905	SRX2978855	NextSeq 500 sequencing; GSM2692176: preT.DN2b.Th#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799388/SRR5799388_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799388/SRR5799388_2.fastq.gz		preT.DN2b.Th#2
PRJNA392905	SRX2978856	NextSeq 500 sequencing; GSM2692177: preT.DN3.Th#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799389/SRR5799389_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799389/SRR5799389_2.fastq.gz		preT.DN3.Th#1
PRJNA392905	SRX2978857	NextSeq 500 sequencing; GSM2692178: T.DN4.Th#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799390/SRR5799390_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799390/SRR5799390_2.fastq.gz		T.DN4.Th#1
PRJNA392905	SRX2978858	NextSeq 500 sequencing; GSM2692179: T.DN4.Th#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799391/SRR5799391_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799391/SRR5799391_2.fastq.gz		T.DN4.Th#2
PRJNA392905	SRX2978859	NextSeq 500 sequencing; GSM2692180: T.ISP.Th#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799392/SRR5799392_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799392/SRR5799392_2.fastq.gz		T.ISP.Th#1
